subject,task,best_model,best_interval,best_score,fft
99,4_8_12,RandomForestClassifier,(0.0, 3.0),0.7647058823529411,False
100,4_8_12,LinearDiscriminantAnalysis,(0.0, 2.0),0.8571428571428571,False
101,4_8_12,LogisticRegression,(0.0, 4.0),0.8235294117647058,True
102,4_8_12,LogisticRegression,(0.0, 3.0),1.0,False
103,4_8_12,LogisticRegression,(0.0, 2.0),0.9411764705882353,False
104,4_8_12,LogisticRegression,(0.0, 3.0),1.0,False
105,4_8_12,RandomForestClassifier,(0.0, 2.0),0.8823529411764706,False
106,4_8_12,LogisticRegression,(0.0, 2.0),0.9411764705882353,False
107,4_8_12,RandomForestClassifier,(0.0, 3.0),0.7058823529411765,True
108,4_8_12,LogisticRegression,(0.0, 4.0),0.7647058823529411,True
109,4_8_12,LogisticRegression,(0.0, 4.0),0.7058823529411765,True
1,5_9_13,RandomForestClassifier,(0.0, 4.0),1.0,False
2,5_9_13,LogisticRegression,(0.0, 4.0),1.0,True
3,5_9_13,RandomForestClassifier,(1.0, 3.0),0.8823529411764706,True
4,5_9_13,LogisticRegression,(1.0, 3.0),1.0,True
5,5_9_13,LinearDiscriminantAnalysis,(0.0, 4.0),1.0,True
6,5_9_13,LogisticRegression,(1.0, 3.0),0.8823529411764706,False
7,5_9_13,LinearDiscriminantAnalysis,(0.0, 3.0),1.0,False
8,5_9_13,RandomForestClassifier,(-1.0, 3.0),1.0,False
9,5_9_13,XGBClassifier,(-1.0, 4.0),0.9411764705882353,True
10,5_9_13,LogisticRegression,(1.0, 4.0),1.0,False
11,5_9_13,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
12,5_9_13,GradientBoostingClassifier,(1.0, 3.0),1.0,False
13,5_9_13,GradientBoostingClassifier,(0.0, 3.0),0.9444444444444444,True
14,5_9_13,LogisticRegression,(-1.0, 4.0),1.0,True
15,5_9_13,LogisticRegression,(1.0, 2.0),1.0,True
16,5_9_13,LinearDiscriminantAnalysis,(1.0, 4.0),1.0,True
17,5_9_13,XGBClassifier,(1.0, 4.0),0.8823529411764706,False
18,5_9_13,LinearDiscriminantAnalysis,(0.0, 2.0),1.0,True
19,5_9_13,LogisticRegression,(-1.0, 3.0),0.875,False
20,5_9_13,XGBClassifier,(1.0, 2.0),0.7647058823529411,False
21,5_9_13,LogisticRegression,(0.0, 2.0),0.9411764705882353,False
22,5_9_13,XGBClassifier,(1.0, 2.0),1.0,False
23,5_9_13,XGBClassifier,(1.0, 3.0),0.8823529411764706,False
24,5_9_13,XGBClassifier,(1.0, 2.0),1.0,False
25,5_9_13,LogisticRegression,(-1.0, 4.0),1.0,False
26,5_9_13,XGBClassifier,(0.0, 4.0),0.8823529411764706,False
27,5_9_13,LogisticRegression,(1.0, 3.0),0.8235294117647058,False
28,5_9_13,GradientBoostingClassifier,(1.0, 4.0),1.0,False
29,5_9_13,LogisticRegression,(0.0, 3.0),1.0,False
30,5_9_13,RandomForestClassifier,(1.0, 3.0),0.8235294117647058,True
31,5_9_13,LinearDiscriminantAnalysis,(0.0, 3.0),1.0,False
32,5_9_13,LogisticRegression,(0.0, 2.0),0.8823529411764706,False
33,5_9_13,RandomForestClassifier,(1.0, 3.0),1.0,True
34,5_9_13,RandomForestClassifier,(1.0, 3.0),0.9411764705882353,True
35,5_9_13,XGBClassifier,(1.0, 4.0),1.0,True
36,5_9_13,RandomForestClassifier,(1.0, 4.0),0.9411764705882353,False
37,5_9_13,LogisticRegression,(1.0, 4.0),0.9411764705882353,True
38,5_9_13,LogisticRegression,(1.0, 4.0),0.8823529411764706,True
39,5_9_13,LinearDiscriminantAnalysis,(0.0, 3.0),0.8823529411764706,False
40,5_9_13,LinearDiscriminantAnalysis,(-1.0, 3.0),0.8125,True
41,5_9_13,RandomForestClassifier,(1.0, 4.0),1.0,True
42,5_9_13,GradientBoostingClassifier,(1.0, 3.0),1.0,True
43,5_9_13,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
44,5_9_13,LinearDiscriminantAnalysis,(-1.0, 2.0),0.8125,True
45,5_9_13,LogisticRegression,(0.0, 4.0),0.9411764705882353,False
46,5_9_13,LogisticRegression,(0.0, 3.0),1.0,False
47,5_9_13,RandomForestClassifier,(-1.0, 4.0),0.8823529411764706,True
48,5_9_13,XGBClassifier,(0.0, 4.0),0.9411764705882353,False
49,5_9_13,LogisticRegression,(0.0, 3.0),1.0,True
50,5_9_13,LogisticRegression,(1.0, 3.0),1.0,False
51,5_9_13,GradientBoostingClassifier,(1.0, 2.0),1.0,False
52,5_9_13,LinearDiscriminantAnalysis,(0.0, 3.0),0.9411764705882353,False
53,5_9_13,LogisticRegression,(1.0, 4.0),0.8235294117647058,False
54,5_9_13,LogisticRegression,(1.0, 2.0),1.0,False
55,5_9_13,LogisticRegression,(0.0, 4.0),1.0,False
56,5_9_13,LinearDiscriminantAnalysis,(1.0, 4.0),0.9411764705882353,False
57,5_9_13,LinearDiscriminantAnalysis,(-1.0, 4.0),1.0,True
58,5_9_13,LogisticRegression,(0.0, 4.0),1.0,True
59,5_9_13,LogisticRegression,(1.0, 3.0),1.0,False
60,5_9_13,LinearDiscriminantAnalysis,(1.0, 2.0),1.0,True
61,5_9_13,LogisticRegression,(1.0, 2.0),0.8823529411764706,True
62,5_9_13,RandomForestClassifier,(1.0, 4.0),1.0,False
63,5_9_13,GradientBoostingClassifier,(0.0, 2.0),0.7647058823529411,True
64,5_9_13,LinearDiscriminantAnalysis,(1.0, 4.0),1.0,True
